Date,GARCH-N,GARCH-t,GJR-t,EGARCH-t,Baseline-30d,realized_abs_r,r2
2023-11-16,1.1791574616389795,1.1554559386738816,0.7922520989949784,0.7735923549012611,0.9389547118236742,0.1222555144886774,0.01494641082289121
2023-11-17,1.1791574616389795,1.1554559386738816,0.7922520989949784,0.7735923549012611,0.938066020787088,0.1243049783076487,0.015451727632065013
2023-11-20,1.1791574616389795,1.1554559386738816,0.7922520989949784,0.7735923549012611,0.9194929283432889,0.7668080089087327,0.587994522526575
2023-11-21,1.1791574616389795,1.1554559386738816,0.7922520989949784,0.7735923549012611,0.9220910714070304,0.2182011524532829,0.0476117429319408
2023-11-22,0.8065043754183316,0.8114774932705789,0.625790442587701,0.6194777983967403,0.9221595756642936,0.3853608689301028,0.14850299930256386
2023-11-24,0.8065043754183316,0.8114774932705789,0.625790442587701,0.6194777983967403,0.9219345766712342,0.0615071276356298,0.003783126749985655
2023-11-27,0.8065043754183316,0.8114774932705789,0.625790442587701,0.6194777983967403,0.9111450636363624,0.1802523214918668,0.032490899403207305
2023-11-28,0.8065043754183316,0.8114774932705789,0.625790442587701,0.6194777983967403,0.9049967375960044,0.0989652740179989,0.009794125461457609
2023-11-29,0.8065043754183316,0.8114774932705789,0.625790442587701,0.6194777983967403,0.8898613324653514,0.0703610783534767,0.004950681347064088
2023-11-30,0.5978738881835294,0.5993657758753305,0.5378575494860963,0.533625865438835,0.8903142723169307,0.3929557239648151,0.15441420099671196
2023-12-01,0.5978738881835294,0.5993657758753305,0.5378575494860963,0.533625865438835,0.84606523014007,0.5898571591790132,0.34793146823473564
2023-12-04,0.5978738881835294,0.5993657758753305,0.5378575494860963,0.533625865438835,0.823693944095935,0.5263241339572857,0.27701709398588686
2023-12-05,0.5978738881835294,0.5993657758753305,0.5378575494860963,0.533625865438835,0.7891003294082172,0.0197144951878703,0.00038866132051256126
2023-12-06,0.5978738881835294,0.5993657758753305,0.5378575494860963,0.533625865438835,0.7866179513653625,0.403791323216619,0.16304743270502806
2023-12-07,0.6150732055826855,0.6036572174681516,0.6152623034812479,0.6166333252755487,0.7907562752346788,0.7601393296371962,0.577811800461286
2023-12-08,0.6150732055826855,0.6036572174681516,0.6152623034812479,0.6166333252755487,0.7291152745398156,0.4290169755666185,0.18405556532432854
2023-12-11,0.6150732055826855,0.6036572174681516,0.6152623034812479,0.6166333252755487,0.6707674187439904,0.3881712400901704,0.1506769116331407
2023-12-12,0.6150732055826855,0.6036572174681516,0.6152623034812479,0.6166333252755487,0.6527044820973071,0.4557019062631744,0.207664227371891
